[2026-07-03T23:58:22.013Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/index.html?v=3 → 200 (23ms, 103406B)
[2026-07-03T23:58:22.087Z] GET https://api.fontshare.com/v2/css?f[]=cabinet-grotesk@700,800&f[]=satoshi@400,500,700&display=swap → pending (?ms, ?B)
[2026-07-03T23:58:22.087Z] GET https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;700&family=DM+Sans:wght@400;500;700&display=swap → pending (?ms, ?B)
[2026-07-03T23:58:22.087Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,500;0,9..144,600;1,9..144,500&display=swap → pending (?ms, ?B)
[2026-07-03T23:58:22.087Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css → pending (?ms, ?B)
[2026-07-03T23:58:22.087Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/styles.css?v=20260619-projects → 200 (5ms, 116981B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/logo_jgs_oficial.png → 200 (6ms, 1219293B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/logo_jgs_largo.png → 200 (8ms, 1867435B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/profile_new.png → 200 (10ms, 1749389B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/screenshot_milu.jpg → 200 (14ms, 507204B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/screenshot_elianis.jpg → 200 (16ms, 456093B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/screenshot_fabian.jpg → 200 (18ms, 505447B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/JGStudio/Contenido/Branding/6bc5efdd-7e70-4821-9c1d-2787de7ff8c8.png → 200 (20ms, 1416499B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/JGStudio/Contenido/Branding/QueHago.png → 200 (21ms, 1880564B)
[2026-07-03T23:58:22.088Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/JGStudio/Contenido/Branding/TransformoIdeas.png → 200 (23ms, 1568726B)
[2026-07-03T23:58:22.089Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/assistant_mini.png → 200 (25ms, 775617B)
[2026-07-03T23:58:22.089Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/img/assistant_mini_wave.png → 200 (27ms, 1145479B)
[2026-07-03T23:58:22.089Z] GET https://cdn.jsdelivr.net/npm/three@0.155.0/build/three.min.js → pending (?ms, ?B)
[2026-07-03T23:58:22.089Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js → pending (?ms, ?B)
[2026-07-03T23:58:22.089Z] GET https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js → pending (?ms, ?B)
[2026-07-03T23:58:22.089Z] GET https://cdn.jsdelivr.net/npm/split-type@0.3.4/umd/index.min.js → pending (?ms, ?B)
[2026-07-03T23:58:22.091Z] GET https://cdn.jsdelivr.net/npm/@studio-freight/lenis@1.0.42/dist/lenis.min.js → pending (?ms, ?B)
[2026-07-03T23:58:22.091Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/config.js → 200 (60ms, 172B)
[2026-07-03T23:58:22.091Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/script.js → 200 (60ms, 37071B)
[2026-07-03T23:58:22.193Z] GET file:///C:/Users/jesus/Documents/AntiGravity/Portfolio/JGStudio/videos/Escenas/boxescena1.mp4 → 200 (15ms, 3139432B)
[2026-07-03T23:58:25.504Z] GET https://cdn.fontshare.com/wf/TTX2Z3BF3P6Y5BQT3IV2VNOK6FL22KUT/7QYRJOI3JIMYHGY6CH7SOIFRQLZOLNJ6/KFIAZD4RUMEZIYV6FQ3T3GP5PDBDB6JY.woff2 → 200 (162ms, 26419B)
[2026-07-03T23:58:25.504Z] GET https://cdn.fontshare.com/wf/ZX6AQLSFYVDPN2URWO2MQFGTYYOHIS64/TPYPKOYWFQVNJHLLRXD4KFYX4LUOUW4Z/6QH2ALVTTK7IRVO5MYOQQ3OZNXW5SSS3.woff2 → 200 (167ms, 21138B)
[2026-07-03T23:58:25.504Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (311ms, 31973B)
[2026-07-03T23:58:25.504Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/webfonts/fa-solid-900.woff2 → 200 (166ms, 150801B)
[2026-07-03T23:58:25.504Z] GET https://cdn.fontshare.com/wf/P2LQKHE6KA6ZP4AAGN72KDWMHH6ZH3TA/ZC32TK2P7FPS5GFTL46EU6KQJA24ZYDB/7AHDUZ4A7LFLVFUIFSARGIWCRQJHISQP.woff2 → 200 (164ms, 26537B)
[2026-07-03T23:58:25.504Z] GET https://cdn.fontshare.com/wf/LAFFD4SDUCDVQEXFPDC7C53EQ4ZELWQI/PXCT3G6LO6ICM5I3NTYENYPWJAECAWDD/GHM6WVH6MILNYOOCXHXB5GTSGNTMGXZR.woff2 → 200 (167ms, 26270B)
[2026-07-03T23:58:25.505Z] GET https://cdn.fontshare.com/wf/XMXWOHABYLQDJ42L65EFRYNVRY37HQCB/B2O4O6V3JMFM2WDCYQI3A47L5U4THDUL/WN5274VQ3AUBDFP74GB4EC4XYJ3EKVNE.woff2 → 200 (168ms, 21231B)
[2026-07-03T23:58:25.505Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/webfonts/fa-brands-400.woff2 → 200 (311ms, 108722B)
[2026-07-03T23:58:25.813Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeA.woff2 → 200 (115ms, 67457B)
[2026-07-03T23:58:25.813Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NUs8FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChJdt9hFwpX9W37lm1_mv0iQg.woff2 → 200 (97ms, 42507B)
